법인명,사업자번호,사업자번호(필터링X),기업고유번호
한아케이엘,462-81-*****,,
한양피씨,127-81-*****,,
한얼계전,124-87-*****,,
한영물산,130-86-*****,,
한영철재,132-86-*****,,
한영캉가루,207-81-*****,207-81-04800,00243173
한일철강,606-81-*****,,
한주산전,506-81-*****,,
해누리,120-87-*****,,
해동종합기획,408-81-*****,,
해선아이엔에프,597-86-*****,,
현대건설장비전주서대리점,415-81-*****,,
현대단조,609-81-*****,609-81-29138,00559773
현대비버리힐스타운,220-87-*****,,
현대산업,130-81-*****,,
현대직판장,129-86-*****,,
현대피닉스,124-86-*****,124-86-80624,01080775
현문자현,128-86-*****,,
현우이엔씨,128-81-*****,128-81-95857,00627180
형인건설,763-88-*****,,
혜성중공업,615-81-*****,,
호성건설,137-81-*****,137-81-08977,01154089
호신인펀트,204-81-*****,,
홍우메디코,214-87-*****,,
홍진씨엔텍,143-81-*****,,
화일엔지니어링,609-81-*****,,
화진,307-81-*****,,
환경바이오,214-87-*****,,
환웅전기,608-81-*****,,
황금연못,885-81-*****,,
황성산업,375-88-*****,,
효명이엔지,134-87-*****,134-87-24927,01100787
효성건설,409-86-*****,,
훼밀리씨앤디,122-81-*****,122-81-54504,01298453
휴먼스토리,308-81-*****,,
흥삼,606-81-*****,,
흥진,307-81-*****,,
히트코,609-81-*****,,
21세기산기,505-81-*****,505-81-20024,00862075
가나약품,204-86-*****,,
거상건설,607-81-*****,,
경상푸드,613-81-*****,,
경운범양에너지,606-81-*****,,
경일영농조합법인,135-81-*****,,
경흥금속공업,124-81-*****,,
고려철강,506-81-*****,,
구림건설,513-81-*****,,
국제수출입홀딩스,711-87-*****,,
국태종합건설,502-81-*****,502-81-05849,00321116
극동종합철강,137-81-*****,,
금강지디씨,215-86-*****,,
금문산업,606-81-*****,606-81-60765,00416210
금부종합건설,607-81-*****,,
금오강재,124-86-*****,,
금오스틸,402-81-*****,,
금창산업,416-81-*****,416-81-63330,00972114
금천건영,120-81-*****,,
기건개발,220-81-*****,,
꾸메화장품,131-81-*****,131-81-95926,01149245
남양산업,124-81-*****,,
농업회사법인케이디에프에스,132-86-*****,,
농업회사법인대광축산,510-81-*****,,
농업회사법인미림,142-81-*****,142-81-15733,00933364
농업회사법인서부식품,128-87-*****,,
농업회사법인신선,220-88-*****,,
농업회사법인영진,126-86-*****,,
농업회사법인창성산업,314-86-*****,,
농업회사법인탐라식품,616-86-*****,,
농업회사법인튜브원,416-81-*****,,
농업회사법인강산푸드플러스,110-81-*****,,
농업회사법인오양물류,132-81-*****,,
농업회사법인참좋은구포국수,869-81-*****,,
누리비엔씨,314-81-*****,314-81-80673,01133606
뉴욕베이커리카페,220-88-*****,,
대교종합건설,617-81-*****,,
대림합판,314-81-*****,,
대방지앤지,214-81-*****,214-81-85344,00667957
대성공업,503-81-*****,503-81-10006,00291523
대성기계공업,134-86-*****,,
대성엠씨,134-81-*****,,
대성직물,613-81-*****,,
대성테크,139-81-*****,,
대양중공업,606-81-*****,,
대영화학,622-81-*****,622-81-01943,00920564
대원칼라뱅크,220-81-*****,,
대지금속,137-81-*****,,
대창HRSG,610-81-*****,610-81-39112,00358493
대창물산,129-86-*****,,
대흥종합건설,610-81-*****,,
더연리지,609-86-*****,609-86-22289,01151587
덕수금속,606-81-*****,606-81-26826,00613415
덕은산전,112-81-*****,,
델로스에프앤비,224-81-*****,224-81-60904,00927716
도영산업개발,117-81-*****,,
동명건설,410-81-*****,,
동비건설,114-86-*****,114-86-42341,01015522
동산금속,128-86-*****,,
동성마린,602-81-*****,,
동성물산,130-81-*****,130-81-07036,00485548
동양석건,306-81-*****,,
동양종합식품,515-81-*****,,
동일건설,511-81-*****,,
동훈에스피,505-81-*****,505-81-47076,00677909
두산월드,212-81-*****,,
두이전기통신,215-81-*****,,
듀크씨엔아이,138-81-*****,,
디에스중공업,411-81-*****,411-81-49444,00650610
디와이,140-81-*****,,
디자인마르스,205-81-*****,,
만도기업,301-81-*****,,
메가코리아홀딩스,302-86-*****,302-86-00273,01299434
미래중앙유통,209-81-*****,,
미숭산업,514-81-*****,,
반도이앤티,206-81-*****,,
백선프렌트산업,306-81-*****,,
보국전기공업,514-81-*****,514-81-13134,00179896
보람텍,610-86-*****,,
보림기계공업,305-81-*****,,
보문상사,305-81-*****,,
보성해상개발,610-81-*****,610-81-29157,00665959
복머니유통,631-86-*****,,
부경판넬공업,127-81-*****,,
부림건업,138-81-*****,,
부민건설,131-81-*****,131-81-51651,00835594
부산다이아몬드,601-81-*****,,
비에스유통,406-87-*****,,
비케이판넬,125-81-*****,125-81-80184,01071005
빅토산업,324-81-*****,,
빛고을자산관리,408-81-*****,,
삼강,225-81-*****,,
삼보종합건설,616-81-*****,,
삼성석재산업,127-81-*****,,
삼양개발,608-81-*****,,
삼우소방,412-81-*****,,
삼정에너지,140-81-*****,,
삼정주철관,124-81-*****,,
삼주이엔지,603-81-*****,603-81-35869,00372305
삼화주철공업,119-81-*****,119-81-04217,00227652
삼화통신공업,119-81-*****,119-81-03936,00232797
서한개발,133-81-*****,133-81-26667,00575577
서홍무역,202-81-*****,,
서흥인테크,211-86-*****,,
선건산업개발,135-81-*****,,
선길엔지니어링,124-86-*****,,
선명건설,605-81-*****,,
선우교역,205-81-*****,,
선일배관,134-81-*****,134-81-44751,00836511
선일이앤알,503-81-*****,,
성남기업,122-81-*****,122-81-06109,00448282
성림산업개발,314-81-*****,,
성신아이앤텍,122-86-*****,122-86-03257,00934141
성신하드웨어,202-81-*****,,
성원이엔티,622-81-*****,622-81-10442,00452683
성진기업,620-81-*****,,
세강건설산업,305-81-*****,305-81-49149,01288872
세계로종합토건,305-81-*****,,
세광에스엔드엘,118-81-*****,,
세아건설,215-81-*****,,
세아산업,508-81-*****,,
세양단조,613-81-*****,,
세연기공,105-81-*****,,
세영엔지니어링,107-88-*****,,
세운버스,514-81-*****,,
세일메탈,131-86-*****,,
세일피에스,128-81-*****,128-81-45167,00448033
세진하이테크,612-81-*****,,
소양건설,616-81-*****,,
수호종합건설,620-81-*****,620-81-46532,00526535
승경쎄카,136-81-*****,,
승화건설산업,307-81-*****,307-81-12861,00966900
신광기업,137-81-*****,,
신광철강,307-81-*****,,
신성수산,603-81-*****,,
신흥피앤피,110-81-*****,110-81-03360,00560672
실버레이,224-81-*****,,
쌍용철강산업,107-81-*****,,
썬플랜트기술,130-81-*****,130-81-48212,01227349
씨에라팜,305-81-*****,305-81-33216,00497570
아도니스,130-81-*****,,
아르테인터내셔날,114-81-*****,,
아이앤디개발,120-86-*****,120-86-26370,00623564
아이에이치디벨루인,110-81-*****,,
알라인,615-81-*****,,
에스앤디스틸,117-81-*****,,
에스에이치유통,548-87-*****,,
에이치엘지한립지엘,134-81-*****,,
엠티코리아,620-81-*****,620-81-09575,01152151
여명약품,130-81-*****,130-81-33290,00362991
연세디지털미디어,106-81-*****,,
영광토건,139-81-*****,,
영진하이테크,503-81-*****,503-81-20386,00271404
영해산업개발,408-81-*****,408-81-32286,01165580
영화산업,409-81-*****,,
예림운수,605-81-*****,,
올원스포츠,214-88-*****,,
와이에스유통,202-81-*****,,
우신산업,505-81-*****,,
우일건설,203-81-*****,,
우진건설,515-81-*****,515-81-24726,00184232
우진하이텍,301-81-*****,301-81-79582,00937281
우창엔지니어링,503-81-*****,503-81-42129,01029622
유진에스앤에스티,119-81-*****,,
윤도건설,224-81-*****,,
윤성전기,211-86-*****,,
은성약품,606-81-*****,,
은창산업,214-81-*****,,
의료법인삼현의료재단,513-82-*****,,
의료법인효성의료재단,615-82-*****,,
이동주조,231-81-*****,,
이천칠키움아이비케이제일차,215-87-*****,215-87-04050,00630865
인팩글로벌,609-81-*****,609-81-69988,01154609
일출건설,616-81-*****,,
정오종합중기,132-81-*****,,
제일도장산업,409-81-*****,,
조광요턴특판,602-81-*****,,
주)대정합판,126-81-*****,,
주식회사그린도어,621-81-*****,,
주식회사우진우드,615-81-*****,,
주영스틸,606-81-*****,,
준시멘트,143-81-*****,,
중부강건,306-81-*****,,
중평산업,114-87-*****,,
진성푸드,128-81-*****,,
진양공업,129-81-*****,129-81-00921,00609157
천지산업,106-87-*****,,
칠성산업,138-81-*****,,
케이에이취팜,109-81-*****,,
케이제이솔루션,137-81-*****,,
코팩엔지니어링,113-81-*****,,
타워피앤씨,130-81-*****,,
태경산업개발,120-81-*****,120-81-07795,00160746
태양글로벌,109-86-*****,,
태양스틸가스산업,505-81-*****,,
태영산업,612-81-*****,612-81-23616,00678102
태웅건설,301-81-*****,301-81-71071,00217044
태조토건,307-81-*****,,
태흥교역,213-86-*****,,
태흥피스코,137-81-*****,,
테크서치,214-86-*****,214-86-25297,00695695
토니가공유리판매,214-87-*****,,
티에스테크,606-86-*****,,
티케이프렌지,113-81-*****,,
파워렉스,133-81-*****,133-81-39202,00975786
포바스,126-81-*****,,
풍산건업,206-81-*****,206-81-32036,00256803
풍인건설,616-81-*****,,
플러스종합건설,127-81-*****,,
하나코비스,125-81-*****,,
하늘약품,129-86-*****,,
하이엔텍,140-81-*****,,
한국분말야금,122-81-*****,122-81-13463,00157645
한국시멘트산업,109-81-*****,109-81-80178,00828576
한국철력,615-81-*****,,
한라농축산영농조합법인,616-81-*****,,
한미산업,302-81-*****,,
한미씨앤씨,127-81-*****,,
한솔신텍,609-81-*****,,
한창건설,213-86-*****,,
한호로지스틱스,105-81-*****,,
현대텍,465-88-*****,465-88-00087,01220197
현대화학,127-81-*****,,
형제기계공업,134-81-*****,,
호성유리,219-81-*****,,
홍우산업기계,107-81-*****,,
화이브엠텍,124-86-*****,124-86-58118,01151842
효명기공,119-81-*****,,
효성실업,201-86-*****,,
효일하드웨어,215-81-*****,,
휴원,411-81-*****,,
흥국실업,208-81-*****,,
희명건설,124-81-*****,,
