사업자번호,법인명,성명,주소,당좌거래 정지일
110-86-*****,영진교역,,경기남양주시진건읍진관로,20170522
612-81-*****,영진산업개발,,경남거제시고현로,20171204
204-86-*****,영진홀딩스,,경기화성시비봉면주석로,20160803
301-81-*****,영진화학,,경기고양시덕양구향뫼로,20180704
795-87-*****,영포물산,,경기양주시광적면부흥로,20170927
206-81-*****,영훈어패럴,,서울성동구연무장5가길,20170404
107-88-*****,옐로우애플,,서울송파구양재대로,20180423
117-81-*****,오베론코스메틱,,서울양천구중앙로,20170504
282-88-*****,오월의바람,,경북경산시경안로,20180117
132-86-*****,온새미로,,경기남양주시진접읍경복대로,20171114
206-86-*****,올원레포츠,,서울성동구아차산로11길,20161202
606-81-*****,요성철강,,부산사상구강변대로,20180321
206-81-*****,용마공영,,서울구로구디지털로,20180718
647-81-*****,용마트,,서울영등포구여의대방로,20180619
101-87-*****,용스타,,경기화성시정남면금복길53번길,20160812
126-81-*****,용진테크,,경기평택시청북읍한산길,20180320
127-86-*****,우광에프앤씨,,경기포천시가산면정금로,20170920
606-86-*****,우리선진,,부산사상구사상로,20160921
315-81-*****,우리정도,,충남천안시서북구직산읍,20160912
114-86-*****,우리티앤이,,서울서초구신반포로,20171120
514-81-*****,우성금속,,대구달성군논공읍논공중앙로,20170602
140-81-*****,우성아트,,경기파주시파주읍정문로,20180503
606-81-*****,우정설비,,부산부산진구새싹로,20180607
114-81-*****,우주홀딩스,,서울서초구강남대로,20170412
222-81-*****,우진에너지,,강원동해시동해대로,20180621
109-81-*****,우진패션비즈,,경기용인시기흥구중부대로,20180323
127-86-*****,원광도어,,경기양주시남면감악산로,20170526
210-81-*****,원진유통,,경기도부천시중동로,20180510
747-88-*****,원평산업,,서울은평구증산로,20161006
109-86-*****,월드빅토리아,,경기김포시대곶면율마로,20180129
525-81-*****,월드타일,,인천서구거첨로,20180517
603-81-*****,유넥스,,경남김해시주촌면골든루트로,20170208
401-81-*****,유니켐,,전북군산시공항로,20170403
402-81-*****,유앤오일넷,,전북군산시옥구읍할미로,20170508
119-81-*****,유진엠플러스,,경기화성시정남면가장로,20180605
621-81-*****,유창산공,,경남김해시상동면장척로,20180228
220-81-*****,율전이앤씨,,서울강남구강남대로,20160824
286-86-*****,은현물산,,서울서대문구거북골로,20170222
128-81-*****,의석,,경기고양시덕양구통일로,20160824
203-81-*****,이건사,,서울중구다산로,20160902
220-87-*****,이노메디슨,,서울중구명동1가,20170518
137-81-*****,이니텍기계,,경기김포시대곶면대곶북로,20160902
121-81-*****,이더블유이엔지,,인천남동구앵고개로,20161026
401-81-*****,이래,,전북군산시외항로,20170313
140-81-*****,이레메탈,,경기시흥시수인로,20161012
538-81-*****,이솔,,경기남양주시화도읍경춘로,20180619
128-86-*****,이솔FNC,,서울마포구월드컵북로1길,20161227
125-81-*****,이엔산업,,경기양주시만송로,20171227
137-86-*****,이엔에이치,,경기고양시일산동구무궁화로,20171124
104-81-*****,이오스옵텍,,서울중구수표로,20180305
201-86-*****,이지오인터내셔날,,서울중구다산로,20170427
121-81-*****,이테크인프라,,인천남구아암대로,20170628
128-86-*****,인트로,,경기고양일산동구고봉로,20170203
137-81-*****,일겸목재,,인천서구원당대로,20170202
416-81-*****,일광콘스텍,,전남광양시광양읍인덕로,20170614
603-81-*****,일월어망,,부산서구암남동,20160901
408-81-*****,일진종합건설,,경북포항시북구삼흥로,20161012
130-86-*****,자이온개발,,인천연수구아트센터대로,20160901
610-81-*****,정광개발,,전북전주시덕진구송천중앙로,20170803
621-81-*****,정성토건,,부산기장군기장읍차성남로,20170627
514-81-*****,정한이엔씨,,경북성주군선남면나선로,20170508
123-81-*****,제이씨유통,,경기안양시동안구흥안대로,20180612
114-86-*****,제이앤에이치홀딩스,,서울노원구공릉로,20180718
210-81-*****,제이앤푸드,,경기포천시소흘읍죽엽산로,20180104
210-81-*****,제이에스프로페셔널,,서울도봉구노해로,20161208
314-86-*****,제이에스홀딩스,,충청남도부여군은산면은남로,20180102
128-87-*****,제일상사,,경기고양시일산동구성현로,20171012
616-81-*****,제주건국내츄럴,,제주제주시아라1동제주대학로,20170719
